,test_mean,test_std,train_mean,train_std,n_features,features,model,feature_selector,gridsearch_time,evaluation_time
0,0.5516774102803514,0.13769892867542952,0.5300790548689099,0.09716344591611502,1,"(123,)",KNeighborsClassifier,sfs,0.3803741931915283,0.4850614070892334
1,0.549456928520396,0.11562320329934576,0.553307571923514,0.09080920855128813,1,"(123,)",RandomForestClassifier,sfs,4.523424863815308,17.94304132461548
2,0.42352891403974996,0.07725453577895007,0.41425203888972006,0.06552794837331467,1,"(123,)",LogisticRegression,sfs,0.11379718780517578,0.4204418659210205
3,0.5990398728092224,0.09736609209456777,0.5989671946411078,0.10837420214430375,2,"(123, 454)",KNeighborsClassifier,sfs,0.19777250289916992,0.4728221893310547
4,0.5975390745591984,0.1389875572316858,0.6034876395745961,0.07467744504388461,2,"(123, 454)",RandomForestClassifier,sfs,4.240996360778809,2.2115306854248047
5,0.45928636321825184,0.08614100751384388,0.4538010760039747,0.09304111918640814,2,"(123, 454)",LogisticRegression,sfs,0.11690497398376465,0.4300072193145752
6,0.9025236576861964,0.07696707566134241,0.9117527523469554,0.05550544271044581,3,"(123, 454, 785)",KNeighborsClassifier,sfs,0.19604778289794922,0.4708900451660156
7,0.8412555521533849,0.0838418278144215,0.8357499765398316,0.07993163009848385,3,"(123, 454, 785)",RandomForestClassifier,sfs,4.247883081436157,5.7338879108428955
8,0.6437322378344051,0.09464684790775552,0.6796680270883169,0.05127968112246981,3,"(123, 454, 785)",LogisticRegression,sfs,0.12141942977905273,0.4694817066192627
9,0.9197180529881768,0.06157682631136775,0.9419598477207173,0.0362796549477112,5,"(123, 454, 785, 791, 906)",KNeighborsClassifier,sfs,0.21570229530334473,0.4870011806488037
10,0.8731752820336411,0.06894554613358175,0.9037542596962886,0.06082756563807618,5,"(123, 454, 785, 791, 906)",RandomForestClassifier,sfs,4.4061994552612305,6.365024566650391
11,0.7049080736658139,0.06602364566159957,0.7498049516237922,0.06791574120578664,5,"(123, 454, 785, 791, 906)",LogisticRegression,sfs,0.12844300270080566,0.47427916526794434
12,0.3146225291736127,0.12373140621420124,0.35279664136185873,0.08061968371490495,1,[942],KNeighborsClassifier,k-best,0.2054135799407959,0.48303675651550293
13,0.16577104998544628,0.08649549054584735,0.16312694525013366,0.07627075126069767,1,[712],KNeighborsClassifier,k-best,0.2045762538909912,0.48003268241882324
14,0.17051407112552625,0.12660753818948225,0.14167040340228748,0.07830477297565795,1,[338],KNeighborsClassifier,k-best,0.20456862449645996,0.4726102352142334
15,0.1567089717128417,0.08542229693129778,0.2035184809822491,0.07644478091705385,1,[1117],KNeighborsClassifier,k-best,0.19916105270385742,0.4818098545074463
16,0.17051407112552625,0.12660753818948225,0.14167040340228748,0.07830477297565795,1,[338],KNeighborsClassifier,k-best-mean,0.19670319557189941,0.47511863708496094
17,0.3989815366092456,0.09989348812022772,0.4216531117835466,0.06749245871056357,1,[942],RandomForestClassifier,k-best,5.3201282024383545,19.299131393432617
18,0.166143434881825,0.07588258791313045,0.193199303648579,0.07234037344623605,1,[712],RandomForestClassifier,k-best,4.842772722244263,7.163075923919678
19,0.1645049841799068,0.08192839791267068,0.16773398877022067,0.07331333956969113,1,[338],RandomForestClassifier,k-best,4.620880603790283,18.904006958007812
